event_id,object_a,object_b,miss_km,coarse_miss_km,rel_speed_kms,alt_km,closing_geom,risk_score,high_risk
0,STARLINK-6106,STARLINK-35906,0.4586,8.007,7.629,485.7,11.5837,100.0,1
1,STARLINK-5772,STARLINK-35716,0.5362,7.831,7.603,485.7,10.3274,95.8,1
2,STARLINK-30354,STARLINK-35424,0.6444,0.646,7.874,492.2,9.325,92.2,1
3,STARLINK-32011,STARLINK-34976,0.6376,7.808,7.657,475.0,9.1416,91.5,1
4,STARLINK-31170,FLOCK 4G-36,1.3392,1.343,13.785,492.6,8.956,90.7,1
5,STARLINK-6200,STARLINK-35894,0.688,8.225,7.659,485.8,8.625,89.4,1
6,STARLINK-30768,STARLINK-35600,0.9559,0.956,9.809,491.3,8.486,88.8,1
7,STARLINK-2039,STARLINK-2164,1.2248,1.227,10.995,481.8,7.7169,85.5,1
8,STARLINK-35347,STARLINK-37321,0.6919,7.35,6.843,475.2,7.6724,85.3,1
9,STARLINK-30339,STARLINK-35703,0.8256,0.833,7.823,491.7,7.6277,85.1,1
10,STARLINK-5714,STARLINK-36063,0.6579,6.879,6.44,492.2,7.5067,84.5,1
11,STARLINK-31819,STARLINK-32624,0.8439,8.366,7.832,492.3,7.5026,84.5,1
12,STARLINK-5672,STARLINK-30534,0.8782,8.644,7.849,492.5,7.2797,83.5,1
13,STARLINK-30874,STARLINK-35429,1.3136,1.333,9.709,487.6,6.4145,79.1,1
14,STARLINK-2110,STARLINK-35074,1.7429,1.799,12.092,471.6,6.2237,78.1,1
15,STARLINK-4533,2024-173D,1.7174,1.794,11.901,469.8,6.2068,78.0,1
16,STARLINK-30753,STARLINK-36991,1.036,7.652,7.654,492.2,6.1926,77.9,1
17,STARLINK-32028,STARLINK-34585,1.84,1.84,11.955,467.9,5.8603,76.0,1
18,STARLINK-32352,STARLINK-32770,0.8501,5.419,6.148,492.5,5.8547,76.0,1
19,STARLINK-30516,STARLINK-33720,1.1085,6.96,7.618,491.9,5.8219,75.8,1
20,SHIYAN-6 01 (SY-6 01),STARLINK-3847,1.26,7.53,8.485,483.4,5.8116,75.8,1
21,STARLINK-31193,STARLINK-32582,1.1875,1.227,7.857,492.0,5.6627,74.9,1
22,STARLINK-30354,STARLINK-36039,1.5566,8.702,9.814,491.0,5.5869,74.4,1
23,STARLINK-5355,STARLINK-30270,1.2102,1.225,7.864,492.5,5.5765,74.4,1
24,STARLINK-5937,STARLINK-32778,1.6164,9.304,10.111,488.2,5.5665,74.3,1
25,STARLINK-3356,STARLINK-32273,2.0108,2.03,12.212,469.6,5.5238,74.1,1
26,STARLINK-34335,FORMOSAT-8A,2.0552,2.145,12.454,583.8,5.5223,74.0,1
27,STARLINK-31791,STARLINK-33907,1.1967,1.202,7.622,492.0,5.4571,73.6,1
28,STARLINK-37111,STARLINK-37347,1.6551,1.712,9.87,464.6,5.3205,72.8,1
29,STARLINK-31949,STARLINK-33847,1.2355,8.299,7.636,486.0,5.3194,72.8,1
30,2023-091D,PTD-4 (LISA-T),0.4952,7.044,3.692,495.0,5.3107,72.7,0
31,STARLINK-30917,COSMOS 2601,1.4873,9.923,8.864,485.1,5.2534,72.4,1
32,STARLINK-6328,STARLINK-35888,1.2999,1.357,7.85,492.3,5.2337,72.3,1
33,TOMORROW-S1,STARLINK-37100,2.6245,2.699,14.73,481.8,5.2151,72.1,0
34,STARLINK-5609,STARLINK-30869,1.331,6.967,7.877,491.9,5.145,71.7,1
35,MOMENTUS-X1,STARLINK-11646 [DTC],1.8959,1.918,10.75,366.2,5.1291,71.6,1
36,TIANMU-1 12,STARLINK-34161,1.3963,1.452,8.067,486.6,5.0536,71.1,1
37,STARLINK-31606,STARLINK-35474,1.3213,8.374,7.611,492.0,5.003,70.8,1
38,STARLINK-3934,STARLINK-6294,1.329,8.315,7.611,484.4,4.9778,70.6,1
39,STARLINK-30990,STARLINK-35687,1.8392,1.909,10.025,488.4,4.9161,70.2,1
40,STARLINK-2680,LYNK TOWER 6,2.6483,2.662,13.972,470.0,4.9054,70.1,0
41,STARLINK-3668,STARLINK-31898,1.0121,6.305,5.914,483.9,4.8791,69.9,1
42,STARLINK-31690,STARLINK-35219,1.3653,7.469,7.618,485.4,4.8668,69.9,1
43,STARLINK-4270,TRANSPORTER-11 OBJECT A,2.8327,2.835,14.677,478.3,4.8396,69.7,0
44,STARLINK-5799,IRIS-F2,1.5342,1.545,8.359,485.5,4.8201,69.6,1
45,STARLINK-5699,STARLINK-33907,1.1414,5.446,6.42,492.4,4.786,69.3,1
46,STARLINK-4171,STARLINK-34636,0.7973,0.805,4.77,462.2,4.7829,69.3,0
47,STARLINK-3057,STARLINK-30769,2.4329,2.534,12.435,487.9,4.7229,68.9,1
48,STARLINK-5720,STARLINK-33766,1.4171,7.312,7.611,485.7,4.7066,68.8,1
49,STARLINK-30770,STARLINK-33928,1.8722,1.998,9.614,487.2,4.6395,68.3,1
50,STARLINK-31320,STARLINK-35553,1.4618,9.188,7.681,475.3,4.6221,68.2,1
51,STARLINK-31922,STARLINK-32606,1.4539,1.548,7.64,485.3,4.6194,68.2,1
52,STARLINK-3555,STARLINK-35935,1.7673,9.612,9.031,492.1,4.5906,68.0,1
53,STARLINK-32845,STARLINK-35368,2.3092,2.347,11.457,472.9,4.566,67.8,1
54,HYPSO-2,STARLINK-34005,0.6805,0.693,3.957,582.7,4.494,67.3,0
55,TECHDEMOSAT-1 (TDS-1),SNAP-3 JIMI,2.8539,2.968,13.591,520.9,4.4504,67.0,0
56,STARLINK-1523,STARLINK-37452,1.5158,6.747,7.526,479.3,4.3863,66.5,1
57,STARLINK-32593,FLOCK 4G-14,3.0269,3.256,14.153,491.4,4.3859,66.5,0
58,STARLINK-31950,NASBSAT-1,2.4089,2.423,11.432,493.0,4.3819,66.5,1
59,STARLINK-32168,OTTER,3.164,3.263,14.522,486.2,4.3169,66.0,0
60,STARLINK-31558,STARLINK-36927,1.6321,7.903,7.867,492.3,4.294,65.8,1
61,STARLINK-30514,REAL,3.163,3.171,14.135,464.5,4.2031,65.1,0
62,STARLINK-3624,STARLINK-5891,3.235,3.483,14.36,539.0,4.1805,65.0,0
63,SPAWAR-CAL-O,STARLINK-34146,3.3066,3.336,14.635,474.0,4.1736,64.9,0
64,STARLINK-37243,KUIPER-00627,1.9361,9.521,8.913,467.2,4.1726,64.9,1
65,STARLINK-3124,STARLINK-5454,2.7314,2.731,12.16,473.0,4.1482,64.7,0
66,STARLINK-4047,STARLINK-34522,2.2296,2.322,10.059,464.7,4.1402,64.6,1
67,STARLINK-31209,STARLINK-35520,1.6608,1.702,7.68,475.1,4.1273,64.5,1
68,UHETSAT,STARLINK-36681,3.3749,3.407,14.752,469.8,4.1265,64.5,0
69,ASTROCAST-0403,STARLINK-37197,1.2514,6.517,5.986,464.9,4.1243,64.5,1
70,STARLINK-5749,STARLINK-31077,1.0384,5.617,5.078,492.3,4.1005,64.3,1
71,STARLINK-4436,STARLINK-32428,3.4006,3.416,14.759,476.6,4.099,64.3,0
72,STARLINK-35722,STARLINK-36666,1.5697,1.621,7.219,462.5,4.0792,64.2,1
73,STARLINK-34482,STARLINK-34817,1.61,1.643,7.383,475.0,4.079,64.2,1
74,STARLINK-30523,STARLINK-35962,2.2721,7.764,10.025,488.6,4.0553,64.0,1
75,GEOSCAN 5 (RS92S5),STARLINK-36946,3.5358,3.661,15.084,479.7,4.0377,63.8,0
76,STARLINK-30942,STARLINK-36654,2.1765,9.275,9.575,492.2,4.029,63.8,1
77,STARLINK-3261,STARLINK-36850,3.3365,3.407,14.233,469.8,4.0246,63.7,0
78,STARLINK-30555,STARLINK-34813,1.7151,7.654,7.679,474.9,4.0097,63.6,1
79,STARLINK-32305,STARLINK-37001,2.7753,2.933,11.919,469.3,4.006,63.6,0
80,STARLINK-3548,STARLINK-6359,1.5652,8.241,7.058,492.5,3.9984,63.5,1
81,STARLINK-6322,STARLINK-32625,1.7051,1.788,7.615,492.1,3.9972,63.5,1
82,STARLINK-2461,STARLINK-34950,3.4434,3.62,14.479,480.7,3.974,63.3,0
83,STARLINK-3268,STARLINK-35173,1.7534,1.811,7.692,474.7,3.9377,63.1,1
84,STARLINK-4710,STARLINK-33682,2.7764,2.855,11.685,468.6,3.9259,63.0,0
85,STARLINK-3714,STARLINK-31598,1.644,6.893,7.192,462.5,3.9002,62.8,1
86,STARLINK-35485,STARLINK-37617,2.8949,2.901,11.997,482.3,3.8764,62.6,0
87,STARLINK-35455,GUOWANG TEST OBJECT C,1.7609,1.794,7.595,474.3,3.8732,62.5,1
88,STARLINK-31799,STARLINK-35814,2.3444,7.519,9.839,488.5,3.8669,62.5,1
89,STARLINK-30525,STARLINK-32752,2.2965,7.149,9.588,487.5,3.8406,62.3,1
90,STARLINK-31252,STARLINK-32642,0.7944,7.399,3.812,484.3,3.8335,62.2,0
91,STARLINK-30849,STARLINK-32245,2.4177,2.549,10.03,487.7,3.8316,62.2,1
92,STARLINK-3670,STARLINK-37272,1.683,6.417,7.207,462.9,3.8274,62.2,1
93,STARLINK-2583,STARLINK-37050,3.5684,3.577,14.34,470.7,3.8053,62.0,0
94,STARLINK-31838,STARLINK-37229,3.6731,3.673,14.726,475.0,3.8021,62.0,0
95,STARLINK-6307,TIANMU-1 14,3.1714,3.291,12.781,493.6,3.791,61.9,0
96,STARLINK-6322,STARLINK-32625,1.8109,1.893,7.623,485.6,3.7908,61.9,1
97,STARLINK-36426,STARLINK-36828,3.6905,3.831,14.595,480.6,3.7514,61.5,0
98,STARLINK-5464,KUZGTU 1 (RS47S),3.7259,3.74,14.641,480.7,3.7293,61.4,0
99,IRIDE-MS2-HEO-4,2025-274C,3.8156,3.816,14.961,604.3,3.7257,61.3,0
100,STARLINK-2640,HYPERFIELD-1A,2.158,9.557,8.777,483.9,3.7222,61.3,1
101,STARLINK-32535,STARLINK-35533,2.4476,2.68,9.818,488.0,3.7083,61.2,1
102,STARLINK-2634,STARLINK-36168,3.6802,3.746,14.387,470.8,3.7078,61.2,0
103,STARLINK-6192,STARLINK-34278,1.9229,2.056,7.842,492.1,3.694,61.1,1
104,STARLINK-31640,2025-313M,3.7068,3.857,14.334,489.9,3.669,60.8,0
105,STARLINK-30456,STARLINK-35254,3.8167,4.084,14.713,477.5,3.663,60.8,0
106,STARLINK-2468,STARLINK-36811,3.8333,3.876,14.758,476.5,3.659,60.8,0
107,STARLINK-32958,STARLINK-35511,1.1972,5.014,5.079,492.3,3.6351,60.6,1
108,BUFENG 1B,STARLINK-34820,2.8451,3.037,11.017,472.4,3.6179,60.4,0
109,STARLINK-6236,STARLINK-35924,1.9733,8.717,7.851,492.0,3.6125,60.4,1
110,STARLINK-2574,STARLINK-37736,3.8565,4.105,14.631,480.4,3.6068,60.3,0
111,FALCONSAT-10,STARLINK-32881,3.492,3.628,13.286,485.6,3.5986,60.2,0
112,JILIN-1 07,STARLINK-4421,3.0255,3.24,11.572,464.3,3.5877,60.2,0
113,STARLINK-4058,STARLINK-34285,3.2108,3.222,12.194,472.5,3.5751,60.0,0
114,STARLINK-4652,STARLINK-32469,3.2115,3.212,12.184,468.3,3.5714,60.0,0
115,STARLINK-31863,FLOCK 4G-26,3.8062,3.817,14.289,486.6,3.5667,60.0,0
116,STARLINK-5181,STARLINK-31731,2.9662,2.968,11.291,487.8,3.5661,60.0,0
117,STARLINK-5465,STARLINK-36387,3.892,4.301,14.587,471.8,3.5648,60.0,0
118,STARLINK-4276,STARLINK-35087,2.6398,2.712,10.122,480.1,3.5643,60.0,0
119,STARLINK-36299,KUIPER-00646,1.8967,1.904,7.469,473.8,3.5623,59.9,1
120,STARLINK-3513,STARLINK-36803,3.514,3.694,13.223,479.0,3.5603,59.9,0
121,STARLINK-5556,STARLINK-34144,2.5648,6.992,9.839,487.5,3.5587,59.9,0
122,STARLINK-33951,STARLINK-36611,2.5977,9.666,9.92,487.6,3.5458,59.8,0
123,STARLINK-3154,STARLINK-36146,2.844,9.501,10.777,490.0,3.5404,59.7,0
124,STARLINK-32787,STARLINK-35700,1.9813,9.436,7.721,462.6,3.5396,59.7,1
125,STARLINK-32319,STARLINK-37231,3.8448,3.893,14.296,470.4,3.5344,59.7,0
126,STARLINK-31640,2025-313M,3.861,3.897,14.326,489.7,3.5277,59.6,0
127,STARLINK-3513,STARLINK-37013,3.877,4.107,14.31,478.6,3.5099,59.5,0
128,STARLINK-35391,STARLINK-35990,1.2301,8.751,5.018,491.6,3.5088,59.5,1
129,STARLINK-6192,STARLINK-35699,1.973,2.188,7.618,485.5,3.5058,59.4,1
130,STARLINK-3138,STARLINK-37065,1.839,8.843,7.14,462.7,3.5017,59.4,1
131,STARLINK-33579,STARLINK-37745,3.8809,3.923,14.262,480.9,3.4948,59.3,0
132,STARLINK-3758,STARLINK-37529,3.6549,3.796,13.469,479.0,3.494,59.3,0
133,STARLINK-31715,STARLINK-35108,2.007,2.01,7.7,474.8,3.4889,59.3,1
134,STARLINK-31200,STARLINK-34119,1.5617,5.434,6.138,492.5,3.4841,59.3,1
135,STARLINK-30768,STARLINK-35600,2.6198,8.159,9.814,487.7,3.4804,59.2,0
136,YAOGAN-12,STARLINK-36472,3.3495,9.668,12.338,483.1,3.476,59.2,0
137,COSMOS 2550,STARLINK-32859,3.4225,9.219,12.58,473.6,3.4727,59.2,0
138,STARLINK-32308,STARLINK-34601,1.7677,1.912,6.819,462.6,3.4655,59.1,1
139,STARLINK-31178,STARLINK-32764,2.0014,6.464,7.627,485.7,3.4646,59.1,1
140,2026-027C,HAWK-14C,4.1515,4.155,15.038,513.2,3.4558,59.0,0
141,STARLINK-33950,STARLINK-36801,3.7852,3.833,13.742,481.7,3.4483,58.9,0
142,STARLINK-32194,STARLINK-34069,1.2479,4.022,4.984,475.1,3.4422,58.9,0
143,STARLINK-30883,STARLINK-36848,2.0182,6.051,7.62,485.4,3.4352,58.8,1
144,STARLINK-3512,STARLINK-35521,3.32,3.351,12.067,473.4,3.4281,58.8,0
145,STARLINK-5720,STARLINK-33766,2.022,2.161,7.604,492.3,3.4221,58.7,1
146,STARLINK-1807,STARLINK-5164,3.2706,3.323,11.865,471.5,3.4187,58.7,0
147,STARLINK-5808,STARLINK-36039,1.6856,8.286,6.444,492.4,3.4175,58.7,1
148,STARLINK-36800,STARLINK-36786,3.9082,4.191,14.019,482.1,3.4124,58.6,0
149,STARLINK-5569,STARLINK-34119,2.6861,8.135,9.835,487.6,3.4077,58.6,0
150,STARLINK-3885,HUNITY,4.0803,4.092,14.552,490.1,3.3998,58.5,0
151,STARLINK-31605,STARLINK-35803,2.1051,2.162,7.817,492.7,3.3912,58.4,1
152,ORBITER SN3,TEVEL2-1,3.5475,9.504,12.676,459.8,3.3825,58.3,0
153,STARLINK-32296,STARLINK-36715,3.7674,3.796,13.4,481.7,3.3775,58.3,0
154,STARLINK-5233,STARLINK-37854,4.1756,4.176,14.724,478.9,3.365,58.2,0
155,PAKTES 1A,STARLINK-5499,4.0881,4.136,14.421,572.6,3.363,58.2,0
156,STARLINK-5791,STARLINK-36179,2.0776,5.345,7.63,485.6,3.35,58.1,1
157,STARLINK-2583,STARLINK-37050,4.0771,4.31,14.312,481.3,3.3462,58.0,0
158,STARLINK-33734,GUOWANG TEST OBJECT C,2.0239,2.033,7.441,474.3,3.3459,58.0,1
159,STARLINK-5699,STARLINK-30602,2.3922,9.446,8.642,487.4,3.3338,57.9,1
160,STARLINK-31570,2025-313X,4.1189,4.119,14.334,489.1,3.3189,57.8,0
161,STARLINK-6243,STARLINK-36081,2.7751,2.798,9.838,487.8,3.3068,57.7,0
162,STARLINK-30354,STARLINK-35424,2.1841,2.384,7.881,485.7,3.3056,57.6,1
163,STARLINK-30106,STARLINK-34043,0.8916,4.079,3.594,484.4,3.2924,57.5,0
164,STARLINK-4023,STARLINK-35164,2.1532,5.369,7.748,462.6,3.2925,57.5,1
165,STARLINK-30977,STARLINK-32615,2.8237,3.083,9.939,487.9,3.287,57.5,0
166,STARLINK-2634,STARLINK-36168,4.1744,4.295,14.36,481.0,3.2827,57.4,0
167,STARLINK-33605,STARLINK-33932,2.1353,7.705,7.645,485.1,3.2737,57.4,1
168,STARLINK-3239,STARLINK-37431,4.2818,4.511,14.6,480.4,3.2576,57.2,0
169,STARLINK-30272,STARLINK-35528,3.5554,9.57,12.218,479.9,3.2534,57.2,0
170,ICEYE-X4,STARLINK-36183,2.0596,2.061,7.351,488.7,3.2532,57.2,1
171,STARLINK-3122,STARLINK-36272,4.2121,4.582,14.33,467.7,3.2479,57.1,0
172,STARLINK-3457,STARLINK-35950,3.5603,3.562,12.209,469.7,3.2468,57.1,0
173,STARLINK-31857,STARLINK-31965,2.8848,3.129,10.015,488.0,3.2466,57.1,0
174,HORS 2,STARLINK-31456,4.1316,4.136,14.049,478.4,3.2434,57.1,0
175,STARLINK-3674,2024-205H,4.2155,4.556,14.314,481.7,3.2418,57.1,0
176,STARLINK-31417,STARLINK-35548,2.4632,2.751,8.612,476.1,3.2337,57.0,1
177,STARLINK-32228,STARLINK-35425,2.1904,9.604,7.723,462.6,3.2308,57.0,1
178,STARLINK-4627,STARLINK-36856,4.3665,4.394,14.753,473.8,3.2307,57.0,0
179,STARLINK-5659,STARLINK-31884,2.2399,9.947,7.883,492.0,3.2309,57.0,1
180,STARLINK-30217,STARLINK-32751,2.1607,9.703,7.616,492.3,3.2262,56.9,1
181,TYVAK-182A,STARLINK-34709,4.3476,4.463,14.66,549.4,3.2237,56.9,0
